011 -- Kulutushyodykkeiden keskihintoja

Vuosi;Hyodyke;Tiedot;Vuosikeskiarvo
2018;ELINTARVIKKEET JA ALKOHOLITTOMAT JUOMAT;Keskihinta;.
2018;Pitkajyvariisi, 1 kg;Keskihinta;2.35
2018;Vehnajauhot, 2 kg;Keskihinta;1.29
2018;Kaurahiutaleet, 1 kg;Keskihinta;1.50
2018;Annospuurohiutale, 250 g;Keskihinta;2.46
2018;Reikaleipa, 1 kg;Keskihinta;.
2018;Ruisleipa, 1 kg;Keskihinta;5.09
2018;Ruisleipapalat, 1 kg;Keskihinta;3.56
2018;Jalkiuunileipa, 1 kg;Keskihinta;.
2018;Sekaleipa, 1 kg;Keskihinta;4.77
2018;Vehnaleipa, 500 g;Keskihinta;.
2018;Kauraleipa, 500 g;Keskihinta;.
2018;Sampyla, 1 kg;Keskihinta;5.64
2018;Patonki, 1 kg;Keskihinta;.
2018;Pullapitko, 1 kg;Keskihinta;6.85
2018;Taytekeksi, 350 g;Keskihinta;3.14
2018;Nakkileipa, 1 kg;Keskihinta;5.16
2018;Voileipakeksi, 1 kg;Keskihinta;.
2018;Suolakeksit, 100 g;Keskihinta;1.16
2018;Einespizza, 200 g;Keskihinta;1.14
2018;Pakastepizza, 300 g;Keskihinta;2.51
2018;Pakastelehtitaikina, 1 kg;Keskihinta;3.57
2018;Lihapiirakka, 1 kg;Keskihinta;4.77
2018;Eineshampurilainen, 100 g;Keskihinta;.
2018;Makaroni, 400 g;Keskihinta;0.35
2018;Spagetti, 500 g;Keskihinta;1.05
2018;Maustetut murot, 1 kg;Keskihinta;8.50
2018;Maustamattomat murot, 1 kg;Keskihinta;.
2018;Maissilastut, 1 kg;Keskihinta;.
2018;Muromysli, 500 g;Keskihinta;2.77
2018;Naudan paisti, 1 kg;Keskihinta;16.38
2018;Naudan jauheliha, 1 kg;Keskihinta;10.11
2018;Naudan ulkofile, 1 kg;Keskihinta;29.30
2018;Sika-nauta jauheliha, 1 kg;Keskihinta;6.22
2018;Naudan suikalepaisti, 1 kg;Keskihinta;.
